weekday,Zone,week_number,hour,driver_pay
Friday,Clinton East,1,23,1232.59
Friday,Clinton East,2,0,9042.98
Friday,Clinton East,2,1,5346.72
Friday,Clinton East,2,2,4101.25
Friday,Clinton East,2,3,3600.16
Friday,Clinton East,2,4,4625.24
Friday,Clinton East,2,5,4151.71
Friday,Clinton East,2,6,5502.6
Friday,Clinton East,2,7,6440.03
Friday,Clinton East,2,8,7299.54
Friday,Clinton East,2,9,7665.84
Friday,Clinton East,2,10,7500.09
Friday,Clinton East,2,11,8582.3
Friday,Clinton East,2,12,6026.48
Friday,Clinton East,2,13,7281.2
Friday,Clinton East,2,14,7156.37
Friday,Clinton East,2,15,5772.33
Friday,Clinton East,2,16,6409.03
Friday,Clinton East,2,17,5752.94
Friday,Clinton East,2,18,6866.06
Friday,Clinton East,2,19,7698.63
Friday,Clinton East,2,20,7176.87
Friday,Clinton East,2,21,9360.58
Friday,Clinton East,2,22,12266.63
Friday,Clinton East,2,23,13663.0
Friday,Clinton East,3,0,10275.86
Friday,Clinton East,3,1,6319.66
Friday,Clinton East,3,2,4568.49
Friday,Clinton East,3,3,4028.78
Friday,Clinton East,3,4,5826.94
Friday,Clinton East,3,5,4960.85
Friday,Clinton East,3,6,4481.63
Friday,Clinton East,3,7,5164.9
Friday,Clinton East,3,8,7091.82
Friday,Clinton East,3,9,6528.37
Friday,Clinton East,3,10,6678.73
Friday,Clinton East,3,11,7112.57
Friday,Clinton East,3,12,6290.9800000000005
Friday,Clinton East,3,13,6381.63
Friday,Clinton East,3,14,6569.51
Friday,Clinton East,3,15,7200.43
Friday,Clinton East,3,16,5448.74
Friday,Clinton East,3,17,6418.47
Friday,Clinton East,3,18,10052.6
Friday,Clinton East,3,19,10542.48
Friday,Clinton East,3,20,7361.14
Friday,Clinton East,3,21,9488.5
Friday,Clinton East,3,22,12339.05
Friday,Clinton East,3,23,12732.1
Friday,Clinton East,4,0,8429.27
Friday,Clinton East,4,1,5180.67
Friday,Clinton East,4,2,4107.94
Friday,Clinton East,4,3,4096.7
Friday,Clinton East,4,4,4001.6
Friday,Clinton East,4,5,3135.8
Friday,Clinton East,4,6,3658.74
Friday,Clinton East,4,7,4620.64
Friday,Clinton East,4,8,5405.31
Friday,Clinton East,4,9,6012.44
Friday,Clinton East,4,10,6404.55
Friday,Clinton East,4,11,6611.02
Friday,Clinton East,4,12,6649.95
Friday,Clinton East,4,13,6558.27
Friday,Clinton East,4,14,5815.62
Friday,Clinton East,4,15,5838.84
Friday,Clinton East,4,16,5967.9
Friday,Clinton East,4,17,7435.84
Friday,Clinton East,4,18,7884.21
Friday,Clinton East,4,19,7269.31
Friday,Clinton East,4,20,7294.13
Friday,Clinton East,4,21,10310.99
Friday,Clinton East,4,22,12207.23
Friday,Clinton East,4,23,12913.54
Friday,Clinton East,5,0,10047.3
Friday,Clinton East,5,1,8359.46
Friday,Clinton East,5,2,6408.63
Friday,Clinton East,5,3,6096.67
Friday,Clinton East,5,4,5954.46
Friday,Clinton East,5,5,3778.59
Friday,Clinton East,5,6,4806.77
Friday,Clinton East,5,7,5056.96
Friday,Clinton East,5,8,5952.54
Friday,Clinton East,5,9,5755.2
Friday,Clinton East,5,10,5832.91
Friday,Clinton East,5,11,6078.29
Friday,Clinton East,5,12,6275.06
Friday,Clinton East,5,13,4795.12
Friday,Clinton East,5,14,5500.12
Friday,Clinton East,5,15,5776.9800000000005
Friday,Clinton East,5,16,6740.06
Friday,Clinton East,5,17,6193.4
Friday,Clinton East,5,18,7804.2
Friday,Clinton East,5,19,7614.1
Friday,Clinton East,5,20,8196.13
Friday,Clinton East,5,21,11462.07
Friday,Clinton East,5,22,16622.26
Friday,Clinton East,5,23,14510.81
Friday,Crown Heights North,1,23,887.58
Friday,Crown Heights North,2,0,4290.32
Friday,Crown Heights North,2,1,2237.29
Friday,Crown Heights North,2,2,2150.97
Friday,Crown Heights North,2,3,1795.97
Friday,Crown Heights North,2,4,3071.53
Friday,Crown Heights North,2,5,5056.82
Friday,Crown Heights North,2,6,6239.06
Friday,Crown Heights North,2,7,8652.39
Friday,Crown Heights North,2,8,8541.11
Friday,Crown Heights North,2,9,7290.19
Friday,Crown Heights North,2,10,6600.97
Friday,Crown Heights North,2,11,6715.09
Friday,Crown Heights North,2,12,7230.09
Friday,Crown Heights North,2,13,6080.33
Friday,Crown Heights North,2,14,7988.16
Friday,Crown Heights North,2,15,9221.97
