weekday,Zone,week_number,hour,driver_pay
Friday,Clinton East,1,0,8376.28
Friday,Clinton East,1,1,6299.04
Friday,Clinton East,1,2,4796.69
Friday,Clinton East,1,3,4402.48
Friday,Clinton East,1,4,5153.22
Friday,Clinton East,1,5,5087.04
Friday,Clinton East,1,6,4826.54
Friday,Clinton East,1,7,6251.18
Friday,Clinton East,1,8,6604.97
Friday,Clinton East,1,9,7488.31
Friday,Clinton East,1,10,6969.82
Friday,Clinton East,1,11,7121.06
Friday,Clinton East,1,12,5669.13
Friday,Clinton East,1,13,5166.58
Friday,Clinton East,1,14,6256.74
Friday,Clinton East,1,15,5784.42
Friday,Clinton East,1,16,6792.65
Friday,Clinton East,1,17,5932.82
Friday,Clinton East,1,18,7344.98
Friday,Clinton East,1,19,6935.92
Friday,Clinton East,1,20,6885.92
Friday,Clinton East,1,21,10514.34
Friday,Clinton East,1,22,13711.83
Friday,Clinton East,1,23,14494.9
Friday,Clinton East,2,0,6749.56
Friday,Clinton East,2,1,6344.46
Friday,Clinton East,2,2,3467.58
Friday,Clinton East,2,3,4696.56
Friday,Clinton East,2,4,4586.85
Friday,Clinton East,2,5,4480.46
Friday,Clinton East,2,6,4799.93
Friday,Clinton East,2,7,6434.62
Friday,Clinton East,2,8,6843.78
Friday,Clinton East,2,9,7065.17
Friday,Clinton East,2,10,7316.35
Friday,Clinton East,2,11,6501.2300000000005
Friday,Clinton East,2,12,7537.55
Friday,Clinton East,2,13,6875.23
Friday,Clinton East,2,14,7479.4400000000005
Friday,Clinton East,2,15,7557.01
Friday,Clinton East,2,16,7426.099999999999
Friday,Clinton East,2,17,6399.78
Friday,Clinton East,2,18,7030.8
Friday,Clinton East,2,19,7445.67
Friday,Clinton East,2,20,7499.87
Friday,Clinton East,2,21,10806.09
Friday,Clinton East,2,22,13498.14
Friday,Clinton East,2,23,11914.25
Friday,Clinton East,3,0,7210.11
Friday,Clinton East,3,1,5441.35
Friday,Clinton East,3,2,3702.21
Friday,Clinton East,3,3,3856.26
Friday,Clinton East,3,4,4967.59
Friday,Clinton East,3,5,4991.76
Friday,Clinton East,3,6,6522.83
Friday,Clinton East,3,7,6484.84
Friday,Clinton East,3,8,6974.72
Friday,Clinton East,3,9,9439.95
Friday,Clinton East,3,10,7204.5199999999995
Friday,Clinton East,3,11,7547.35
Friday,Clinton East,3,12,8035.92
Friday,Clinton East,3,13,6409.87
Friday,Clinton East,3,14,7027.9
Friday,Clinton East,3,15,7092.02
Friday,Clinton East,3,16,8599.81
Friday,Clinton East,3,17,6490.4
Friday,Clinton East,3,18,7332.11
Friday,Clinton East,3,19,8137.22
Friday,Clinton East,3,20,8135.0
Friday,Clinton East,3,21,10967.63
Friday,Clinton East,3,22,13751.78
Friday,Clinton East,3,23,13859.26
Friday,Clinton East,4,0,9259.16
Friday,Clinton East,4,1,6154.18
Friday,Clinton East,4,2,4596.03
Friday,Clinton East,4,3,4425.76
Friday,Clinton East,4,4,4540.83
Friday,Clinton East,4,5,4340.12
Friday,Clinton East,4,6,5293.59
Friday,Clinton East,4,7,4916.53
Friday,Clinton East,4,8,6035.21
Friday,Clinton East,4,9,5457.8
Friday,Clinton East,4,10,5921.11
Friday,Clinton East,4,11,6307.54
Friday,Clinton East,4,12,6683.46
Friday,Clinton East,4,13,6379.76
Friday,Clinton East,4,14,7415.52
Friday,Clinton East,4,15,6977.87
Friday,Clinton East,4,16,5485.53
Friday,Clinton East,4,17,7035.95
Friday,Clinton East,4,18,6185.1
Friday,Clinton East,4,19,6386.62
Friday,Clinton East,4,20,6254.06
Friday,Clinton East,4,21,9079.35
Friday,Clinton East,4,22,12967.76
Friday,Clinton East,4,23,11842.37
Friday,Clinton East,5,0,7767.0
Friday,Clinton East,5,1,4942.68
Friday,Clinton East,5,2,4168.33
Friday,Clinton East,5,3,3665.51
Friday,Clinton East,5,4,4107.42
Friday,Clinton East,5,5,4261.13
Friday,Clinton East,5,6,4059.91
Friday,Clinton East,5,7,4685.94
Friday,Clinton East,5,8,4793.87
Friday,Clinton East,5,9,5581.52
Friday,Clinton East,5,10,5902.29
Friday,Clinton East,5,11,5766.69
Friday,Clinton East,5,12,4834.78
Friday,Clinton East,5,13,5387.61
Friday,Clinton East,5,14,5855.73
Friday,Clinton East,5,15,6799.87
Friday,Clinton East,5,16,5341.67
Friday,Clinton East,5,17,6557.59
Friday,Clinton East,5,18,6587.03
Friday,Clinton East,5,19,6565.11
Friday,Clinton East,5,20,6187.66
Friday,Clinton East,5,21,8493.2
Friday,Clinton East,5,22,12006.53
Friday,Clinton East,5,23,12878.43
Friday,Crown Heights North,1,0,4487.31
Friday,Crown Heights North,1,1,2445.84
Friday,Crown Heights North,1,2,1949.66
Friday,Crown Heights North,1,3,1734.82
Friday,Crown Heights North,1,4,2786.44
Friday,Crown Heights North,1,5,4440.48
Friday,Crown Heights North,1,6,6426.92
Friday,Crown Heights North,1,7,9576.88
Friday,Crown Heights North,1,8,8261.49
Friday,Crown Heights North,1,9,7539.8
Friday,Crown Heights North,1,10,6182.4
Friday,Crown Heights North,1,11,6502.29
Friday,Crown Heights North,1,12,6169.84
Friday,Crown Heights North,1,13,6696.19
Friday,Crown Heights North,1,14,7290.11
Friday,Crown Heights North,1,15,8521.49
Friday,Crown Heights North,1,16,7308.91
Friday,Crown Heights North,1,17,9204.28
Friday,Crown Heights North,1,18,10653.66
Friday,Crown Heights North,1,19,9896.67
Friday,Crown Heights North,1,20,8340.17
Friday,Crown Heights North,1,21,8480.0
Friday,Crown Heights North,1,22,9612.64
Friday,Crown Heights North,1,23,9214.56
Friday,Crown Heights North,2,0,3892.14
Friday,Crown Heights North,2,1,1977.55
Friday,Crown Heights North,2,2,1659.14
Friday,Crown Heights North,2,3,2262.05
Friday,Crown Heights North,2,4,2883.87
Friday,Crown Heights North,2,5,4472.04
Friday,Crown Heights North,2,6,7047.55
Friday,Crown Heights North,2,7,9065.95
Friday,Crown Heights North,2,8,10506.41
Friday,Crown Heights North,2,9,8800.58
Friday,Crown Heights North,2,10,8318.1
Friday,Crown Heights North,2,11,6370.19
Friday,Crown Heights North,2,12,7465.39
Friday,Crown Heights North,2,13,7866.7699999999995
Friday,Crown Heights North,2,14,8132.34
Friday,Crown Heights North,2,15,8309.9
Friday,Crown Heights North,2,16,9924.89
Friday,Crown Heights North,2,17,10913.6
Friday,Crown Heights North,2,18,10910.78
Friday,Crown Heights North,2,19,11004.82
Friday,Crown Heights North,2,20,10361.38
Friday,Crown Heights North,2,21,7802.29
Friday,Crown Heights North,2,22,9095.93
Friday,Crown Heights North,2,23,9662.26
Friday,Crown Heights North,3,0,3860.83
Friday,Crown Heights North,3,1,2182.59
Friday,Crown Heights North,3,2,1513.74
Friday,Crown Heights North,3,3,1953.05
Friday,Crown Heights North,3,4,3112.54
Friday,Crown Heights North,3,5,4688.04
Friday,Crown Heights North,3,6,6059.0
Friday,Crown Heights North,3,7,9727.34
Friday,Crown Heights North,3,8,9552.9
Friday,Crown Heights North,3,9,7477.24
Friday,Crown Heights North,3,10,6974.06
Friday,Crown Heights North,3,11,6600.48
Friday,Crown Heights North,3,12,7418.1
Friday,Crown Heights North,3,13,7593.75
Friday,Crown Heights North,3,14,7526.88
Friday,Crown Heights North,3,15,9234.24
Friday,Crown Heights North,3,16,8155.01
Friday,Crown Heights North,3,17,10587.43
Friday,Crown Heights North,3,18,12026.46
Friday,Crown Heights North,3,19,10866.57
Friday,Crown Heights North,3,20,9397.6
Friday,Crown Heights North,3,21,8217.95
Friday,Crown Heights North,3,22,9663.78
Friday,Crown Heights North,3,23,9958.9
Friday,Crown Heights North,4,0,3623.02
Friday,Crown Heights North,4,1,3427.04
Friday,Crown Heights North,4,2,2347.14
Friday,Crown Heights North,4,3,1953.96
Friday,Crown Heights North,4,4,4108.03
Friday,Crown Heights North,4,5,3667.54
Friday,Crown Heights North,4,6,6255.36
Friday,Crown Heights North,4,7,8514.13
Friday,Crown Heights North,4,8,8782.27
Friday,Crown Heights North,4,9,8292.6
Friday,Crown Heights North,4,10,7162.29
Friday,Crown Heights North,4,11,6864.04
Friday,Crown Heights North,4,12,7768.47
Friday,Crown Heights North,4,13,7701.8
Friday,Crown Heights North,4,14,8289.32
Friday,Crown Heights North,4,15,9964.41
Friday,Crown Heights North,4,16,9702.18
Friday,Crown Heights North,4,17,10173.74
Friday,Crown Heights North,4,18,10817.38
Friday,Crown Heights North,4,19,9660.44
Friday,Crown Heights North,4,20,8836.96
Friday,Crown Heights North,4,21,8893.04
Friday,Crown Heights North,4,22,8762.22
Friday,Crown Heights North,4,23,11097.05
Friday,Crown Heights North,5,0,4038.28
Friday,Crown Heights North,5,1,2740.02
Friday,Crown Heights North,5,2,2206.2599999999998
Friday,Crown Heights North,5,3,1531.5
Friday,Crown Heights North,5,4,3107.65
Friday,Crown Heights North,5,5,3977.28
Friday,Crown Heights North,5,6,6782.59
Friday,Crown Heights North,5,7,8701.58
Friday,Crown Heights North,5,8,9365.76
Friday,Crown Heights North,5,9,6788.78
Friday,Crown Heights North,5,10,6069.29
Friday,Crown Heights North,5,11,6975.06
Friday,Crown Heights North,5,12,6354.87
Friday,Crown Heights North,5,13,6736.67
Friday,Crown Heights North,5,14,8130.35
Friday,Crown Heights North,5,15,10003.53
Friday,Crown Heights North,5,16,12131.43
Friday,Crown Heights North,5,17,10631.63
Friday,Crown Heights North,5,18,10039.77
Friday,Crown Heights North,5,19,10384.06
Friday,Crown Heights North,5,20,9076.07
Friday,Crown Heights North,5,21,9110.45
Friday,Crown Heights North,5,22,10687.3
Friday,Crown Heights North,5,23,9887.69
Friday,East Chelsea,1,0,8269.73
Friday,East Chelsea,1,1,4608.15
Friday,East Chelsea,1,2,3443.77
Friday,East Chelsea,1,3,3167.86
Friday,East Chelsea,1,4,3587.43
Friday,East Chelsea,1,5,4484.1
Friday,East Chelsea,1,6,5219.71
Friday,East Chelsea,1,7,6485.4
Friday,East Chelsea,1,8,8777.85
Friday,East Chelsea,1,9,7796.91
Friday,East Chelsea,1,10,8543.78
Friday,East Chelsea,1,11,8497.74
Friday,East Chelsea,1,12,10159.16
Friday,East Chelsea,1,13,10670.78
Friday,East Chelsea,1,14,11132.28
Friday,East Chelsea,1,15,8983.95
Friday,East Chelsea,1,16,8580.13
Friday,East Chelsea,1,17,8914.09
Friday,East Chelsea,1,18,10839.61
Friday,East Chelsea,1,19,9567.01
Friday,East Chelsea,1,20,9522.5
Friday,East Chelsea,1,21,10101.09
Friday,East Chelsea,1,22,12599.48
Friday,East Chelsea,1,23,12269.01
Friday,East Chelsea,2,0,7782.05
Friday,East Chelsea,2,1,4892.91
Friday,East Chelsea,2,2,4790.33
Friday,East Chelsea,2,3,4322.86
Friday,East Chelsea,2,4,4409.69
Friday,East Chelsea,2,5,4353.94
Friday,East Chelsea,2,6,5853.6
Friday,East Chelsea,2,7,7578.07
Friday,East Chelsea,2,8,8743.05
Friday,East Chelsea,2,9,8535.93
Friday,East Chelsea,2,10,8825.83
Friday,East Chelsea,2,11,9441.33
Friday,East Chelsea,2,12,11632.44
Friday,East Chelsea,2,13,11502.97
Friday,East Chelsea,2,14,13183.42
Friday,East Chelsea,2,15,11974.67
Friday,East Chelsea,2,16,9066.86
Friday,East Chelsea,2,17,10342.38
Friday,East Chelsea,2,18,10509.289999999999
Friday,East Chelsea,2,19,10129.69
Friday,East Chelsea,2,20,11156.52
Friday,East Chelsea,2,21,11118.97
Friday,East Chelsea,2,22,13258.6
Friday,East Chelsea,2,23,11664.44
Friday,East Chelsea,3,0,8619.68
Friday,East Chelsea,3,1,4913.46
Friday,East Chelsea,3,2,3481.57
Friday,East Chelsea,3,3,3733.0
Friday,East Chelsea,3,4,3975.57
Friday,East Chelsea,3,5,3781.56
Friday,East Chelsea,3,6,5511.55
Friday,East Chelsea,3,7,6751.34
Friday,East Chelsea,3,8,8075.52
Friday,East Chelsea,3,9,8804.48
Friday,East Chelsea,3,10,8513.48
Friday,East Chelsea,3,11,8603.49
Friday,East Chelsea,3,12,9965.61
Friday,East Chelsea,3,13,11754.99
Friday,East Chelsea,3,14,12478.16
Friday,East Chelsea,3,15,12561.29
Friday,East Chelsea,3,16,10802.9
Friday,East Chelsea,3,17,10709.8
Friday,East Chelsea,3,18,12133.86
Friday,East Chelsea,3,19,9776.71
Friday,East Chelsea,3,20,10238.03
Friday,East Chelsea,3,21,10304.23
Friday,East Chelsea,3,22,11645.49
Friday,East Chelsea,3,23,11431.12
Friday,East Chelsea,4,0,9331.59
Friday,East Chelsea,4,1,4556.99
Friday,East Chelsea,4,2,3507.42
Friday,East Chelsea,4,3,3766.22
Friday,East Chelsea,4,4,5070.29
Friday,East Chelsea,4,5,3835.74
Friday,East Chelsea,4,6,4697.9
Friday,East Chelsea,4,7,4960.7
Friday,East Chelsea,4,8,5718.1900000000005
Friday,East Chelsea,4,9,6584.38
Friday,East Chelsea,4,10,8652.72
Friday,East Chelsea,4,11,7431.18
Friday,East Chelsea,4,12,8332.53
Friday,East Chelsea,4,13,9375.68
Friday,East Chelsea,4,14,9466.42
Friday,East Chelsea,4,15,8302.89
Friday,East Chelsea,4,16,8830.14
Friday,East Chelsea,4,17,6795.37
Friday,East Chelsea,4,18,8415.4
Friday,East Chelsea,4,19,7503.03
Friday,East Chelsea,4,20,7146.97
Friday,East Chelsea,4,21,7764.63
Friday,East Chelsea,4,22,11117.81
Friday,East Chelsea,4,23,20176.75
Friday,East Chelsea,5,0,7924.02
Friday,East Chelsea,5,1,4325.63
Friday,East Chelsea,5,2,2994.29
Friday,East Chelsea,5,3,2318.2
Friday,East Chelsea,5,4,2907.34
Friday,East Chelsea,5,5,3443.9
Friday,East Chelsea,5,6,3455.82
Friday,East Chelsea,5,7,5118.18
Friday,East Chelsea,5,8,5881.51
Friday,East Chelsea,5,9,6560.1
Friday,East Chelsea,5,10,6808.24
Friday,East Chelsea,5,11,7783.85
Friday,East Chelsea,5,12,6954.92
Friday,East Chelsea,5,13,8397.82
Friday,East Chelsea,5,14,12072.41
Friday,East Chelsea,5,15,8278.69
Friday,East Chelsea,5,16,9187.52
Friday,East Chelsea,5,17,7864.2
Friday,East Chelsea,5,18,8413.63
Friday,East Chelsea,5,19,10400.44
Friday,East Chelsea,5,20,8889.84
Friday,East Chelsea,5,21,9282.74
Friday,East Chelsea,5,22,11531.01
Friday,East Chelsea,5,23,12979.59
Friday,East Village,1,0,13445.67
Friday,East Village,1,1,9533.93
Friday,East Village,1,2,7159.2300000000005
Friday,East Village,1,3,5708.2300000000005
Friday,East Village,1,4,5008.92
Friday,East Village,1,5,3837.65
Friday,East Village,1,6,4280.56
Friday,East Village,1,7,5895.83
Friday,East Village,1,8,5927.58
Friday,East Village,1,9,4829.3
Friday,East Village,1,10,4814.29
Friday,East Village,1,11,5011.84
Friday,East Village,1,12,5508.31
