weekday,Zone,week_number,hour,driver_pay
Friday,Clinton East,1,0,16606.65
Friday,Clinton East,1,1,15444.44
Friday,Clinton East,1,2,13075.23
Friday,Clinton East,1,3,10392.72
Friday,Clinton East,1,4,8647.18
Friday,Clinton East,1,5,4732.24
Friday,Clinton East,1,6,3997.62
Friday,Clinton East,1,7,4303.18
Friday,Clinton East,1,8,4225.17
Friday,Clinton East,1,9,5477.45
Friday,Clinton East,1,10,5910.23
Friday,Clinton East,1,11,5931.11
Friday,Clinton East,1,12,5417.04
Friday,Clinton East,1,13,7499.66
Friday,Clinton East,1,14,5754.2699999999995
Friday,Clinton East,1,15,5726.5
Friday,Clinton East,1,16,6993.55
Friday,Clinton East,1,17,7414.52
Friday,Clinton East,1,18,8424.47
Friday,Clinton East,1,19,9280.75
Friday,Clinton East,1,20,9506.25
Friday,Clinton East,1,21,12799.06
Friday,Clinton East,1,22,13899.54
Friday,Clinton East,1,23,12871.96
Friday,Clinton East,2,0,8447.93
Friday,Clinton East,2,1,6539.72
Friday,Clinton East,2,2,4524.36
Friday,Clinton East,2,3,3370.04
Friday,Clinton East,2,4,4332.51
Friday,Clinton East,2,5,5320.39
Friday,Clinton East,2,6,4133.85
Friday,Clinton East,2,7,5792.97
Friday,Clinton East,2,8,6308.86
Friday,Clinton East,2,9,5760.54
Friday,Clinton East,2,10,5790.08
Friday,Clinton East,2,11,6477.51
Friday,Clinton East,2,12,5245.97
Friday,Clinton East,2,13,5785.88
Friday,Clinton East,2,14,6824.37
Friday,Clinton East,2,15,6443.19
Friday,Clinton East,2,16,5864.84
Friday,Clinton East,2,17,6585.97
Friday,Clinton East,2,18,7974.13
Friday,Clinton East,2,19,7699.85
Friday,Clinton East,2,20,7482.1
Friday,Clinton East,2,21,11897.67
Friday,Clinton East,2,22,14162.59
Friday,Clinton East,2,23,13357.58
Friday,Clinton East,3,0,8576.99
Friday,Clinton East,3,1,7662.96
Friday,Clinton East,3,2,4465.55
Friday,Clinton East,3,3,4193.59
Friday,Clinton East,3,4,5792.13
Friday,Clinton East,3,5,4274.77
Friday,Clinton East,3,6,4561.41
Friday,Clinton East,3,7,5818.24
Friday,Clinton East,3,8,7927.99
Friday,Clinton East,3,9,7068.5
Friday,Clinton East,3,10,5733.74
Friday,Clinton East,3,11,6026.28
Friday,Clinton East,3,12,6124.59
Friday,Clinton East,3,13,5671.96
Friday,Clinton East,3,14,7133.78
Friday,Clinton East,3,15,7132.35
Friday,Clinton East,3,16,6804.33
Friday,Clinton East,3,17,7165.79
Friday,Clinton East,3,18,7836.68
Friday,Clinton East,3,19,7976.58
Friday,Clinton East,3,20,8392.26
Friday,Clinton East,3,21,11285.27
Friday,Clinton East,3,22,13778.98
Friday,Clinton East,3,23,12623.2
Friday,Clinton East,4,0,9785.65
Friday,Clinton East,4,1,7237.34
Friday,Clinton East,4,2,5559.52
Friday,Clinton East,4,3,3978.94
Friday,Clinton East,4,4,5033.31
Friday,Clinton East,4,5,4988.37
Friday,Clinton East,4,6,6219.59
Friday,Clinton East,4,7,6850.75
Friday,Clinton East,4,8,8068.31
Friday,Clinton East,4,9,7839.29
Friday,Clinton East,4,10,6905.22
Friday,Clinton East,4,11,6364.0
Friday,Clinton East,4,12,6637.06
Friday,Clinton East,4,13,6330.11
Friday,Clinton East,4,14,6562.83
Friday,Clinton East,4,15,6427.6
Friday,Clinton East,4,16,7476.52
Friday,Clinton East,4,17,8229.25
Friday,Clinton East,4,18,9914.65
Friday,Clinton East,4,19,11162.52
Friday,Clinton East,4,20,11141.98
Friday,Clinton East,4,21,13765.75
Friday,Clinton East,4,22,14004.14
Friday,Clinton East,4,23,14602.34
Friday,Clinton East,5,0,4417.28
Friday,Clinton East,5,1,3613.87
Friday,Clinton East,5,2,2529.56
Friday,Clinton East,5,3,3435.31
Friday,Clinton East,5,4,2661.1
Friday,Clinton East,5,5,2922.2
Friday,Clinton East,5,6,3284.79
Friday,Clinton East,5,7,3524.61
Friday,Clinton East,5,8,2820.95
Friday,Clinton East,5,9,3665.93
Friday,Clinton East,5,10,4261.88
Friday,Clinton East,5,11,4774.8
Friday,Clinton East,5,12,4711.08
Friday,Clinton East,5,13,5171.4
Friday,Clinton East,5,14,5559.89
Friday,Clinton East,5,15,5281.09
Friday,Clinton East,5,16,7838.0
Friday,Clinton East,5,17,6724.91
Friday,Clinton East,5,18,7115.97
Friday,Clinton East,5,19,6441.52
Friday,Clinton East,5,20,6444.31
Friday,Clinton East,5,21,7875.93
Friday,Clinton East,5,22,10789.59
Friday,Clinton East,5,23,9390.9
Friday,Crown Heights North,1,0,10859.3
Friday,Crown Heights North,1,1,7258.22
Friday,Crown Heights North,1,2,5802.5
Friday,Crown Heights North,1,3,3622.88
Friday,Crown Heights North,1,4,3850.32
Friday,Crown Heights North,1,5,4902.41
Friday,Crown Heights North,1,6,6530.82
Friday,Crown Heights North,1,7,7471.09
Friday,Crown Heights North,1,8,10091.99
Friday,Crown Heights North,1,9,7567.84
Friday,Crown Heights North,1,10,7533.26
Friday,Crown Heights North,1,11,7158.6
Friday,Crown Heights North,1,12,7386.29
Friday,Crown Heights North,1,13,6823.16
Friday,Crown Heights North,1,14,7886.01
Friday,Crown Heights North,1,15,7272.51
Friday,Crown Heights North,1,16,7741.56
Friday,Crown Heights North,1,17,8697.58
Friday,Crown Heights North,1,18,10316.93
Friday,Crown Heights North,1,19,10714.38
Friday,Crown Heights North,1,20,9637.26
Friday,Crown Heights North,1,21,11058.02
Friday,Crown Heights North,1,22,12015.95
Friday,Crown Heights North,1,23,13357.07
Friday,Crown Heights North,2,0,3436.48
Friday,Crown Heights North,2,1,2294.91
Friday,Crown Heights North,2,2,1380.84
Friday,Crown Heights North,2,3,1767.6
Friday,Crown Heights North,2,4,2745.77
Friday,Crown Heights North,2,5,3445.42
Friday,Crown Heights North,2,6,5725.3
Friday,Crown Heights North,2,7,9106.58
Friday,Crown Heights North,2,8,8157.5
Friday,Crown Heights North,2,9,7427.98
Friday,Crown Heights North,2,10,6684.12
Friday,Crown Heights North,2,11,6993.13
Friday,Crown Heights North,2,12,5930.3
Friday,Crown Heights North,2,13,6298.6
Friday,Crown Heights North,2,14,6392.5199999999995
Friday,Crown Heights North,2,15,7999.03
Friday,Crown Heights North,2,16,8765.12
Friday,Crown Heights North,2,17,9734.54
Friday,Crown Heights North,2,18,10421.96
Friday,Crown Heights North,2,19,10152.51
Friday,Crown Heights North,2,20,8250.32
Friday,Crown Heights North,2,21,8073.87
Friday,Crown Heights North,2,22,9705.04
Friday,Crown Heights North,2,23,10106.89
Friday,Crown Heights North,3,0,4176.89
Friday,Crown Heights North,3,1,2190.67
Friday,Crown Heights North,3,2,1609.93
Friday,Crown Heights North,3,3,1921.26
Friday,Crown Heights North,3,4,2632.04
Friday,Crown Heights North,3,5,4941.95
Friday,Crown Heights North,3,6,6267.06
Friday,Crown Heights North,3,7,8775.99
Friday,Crown Heights North,3,8,10072.67
Friday,Crown Heights North,3,9,8587.4
Friday,Crown Heights North,3,10,5826.62
Friday,Crown Heights North,3,11,6576.85
Friday,Crown Heights North,3,12,6993.29
Friday,Crown Heights North,3,13,5863.38
Friday,Crown Heights North,3,14,7089.8
Friday,Crown Heights North,3,15,6808.86
Friday,Crown Heights North,3,16,6906.31
Friday,Crown Heights North,3,17,10600.54
Friday,Crown Heights North,3,18,10629.35
Friday,Crown Heights North,3,19,10884.9
Friday,Crown Heights North,3,20,10329.42
Friday,Crown Heights North,3,21,9144.63
Friday,Crown Heights North,3,22,9372.5
Friday,Crown Heights North,3,23,9023.76
Friday,Crown Heights North,4,0,4815.46
Friday,Crown Heights North,4,1,3158.09
Friday,Crown Heights North,4,2,1929.73
Friday,Crown Heights North,4,3,2126.29
Friday,Crown Heights North,4,4,3419.71
Friday,Crown Heights North,4,5,5214.49
Friday,Crown Heights North,4,6,6406.16
Friday,Crown Heights North,4,7,8246.72
Friday,Crown Heights North,4,8,8021.17
Friday,Crown Heights North,4,9,8781.51
Friday,Crown Heights North,4,10,6451.61
Friday,Crown Heights North,4,11,6604.84
Friday,Crown Heights North,4,12,6944.9800000000005
Friday,Crown Heights North,4,13,7479.98
Friday,Crown Heights North,4,14,8175.76
Friday,Crown Heights North,4,15,8757.28
Friday,Crown Heights North,4,16,9673.44
Friday,Crown Heights North,4,17,12925.17
Friday,Crown Heights North,4,18,13557.63
Friday,Crown Heights North,4,19,13898.6
Friday,Crown Heights North,4,20,11069.47
Friday,Crown Heights North,4,21,9333.72
Friday,Crown Heights North,4,22,9293.39
Friday,Crown Heights North,4,23,9140.42
Friday,Crown Heights North,5,0,11862.08
Friday,Crown Heights North,5,1,6371.13
Friday,Crown Heights North,5,2,4622.81
Friday,Crown Heights North,5,3,3201.76
Friday,Crown Heights North,5,4,2897.56
Friday,Crown Heights North,5,5,3184.45
Friday,Crown Heights North,5,6,3662.67
Friday,Crown Heights North,5,7,4592.22
Friday,Crown Heights North,5,8,5042.87
Friday,Crown Heights North,5,9,4266.23
Friday,Crown Heights North,5,10,4537.36
Friday,Crown Heights North,5,11,5241.99
Friday,Crown Heights North,5,12,5561.41
Friday,Crown Heights North,5,13,5996.7699999999995
Friday,Crown Heights North,5,14,5906.59
Friday,Crown Heights North,5,15,6239.48
Friday,Crown Heights North,5,16,6765.96
Friday,Crown Heights North,5,17,5868.34
Friday,Crown Heights North,5,18,7305.87
Friday,Crown Heights North,5,19,6329.42
Friday,Crown Heights North,5,20,5488.73
Friday,Crown Heights North,5,21,6411.66
Friday,Crown Heights North,5,22,6828.13
Friday,Crown Heights North,5,23,6565.84
Friday,East Chelsea,1,0,10985.06
Friday,East Chelsea,1,1,7280.62
Friday,East Chelsea,1,2,9025.09
Friday,East Chelsea,1,3,7074.47
Friday,East Chelsea,1,4,5751.14
Friday,East Chelsea,1,5,3726.88
Friday,East Chelsea,1,6,3112.53
Friday,East Chelsea,1,7,4192.65
Friday,East Chelsea,1,8,6391.4
Friday,East Chelsea,1,9,5298.84
Friday,East Chelsea,1,10,6298.94
Friday,East Chelsea,1,11,6988.99
Friday,East Chelsea,1,12,8993.92
Friday,East Chelsea,1,13,9794.61
Friday,East Chelsea,1,14,8140.88
Friday,East Chelsea,1,15,8234.18
Friday,East Chelsea,1,16,9312.6
Friday,East Chelsea,1,17,8456.31
Friday,East Chelsea,1,18,10605.07
Friday,East Chelsea,1,19,11768.34
Friday,East Chelsea,1,20,11690.37
Friday,East Chelsea,1,21,13358.84
Friday,East Chelsea,1,22,14124.74
Friday,East Chelsea,1,23,13699.03
Friday,East Chelsea,2,0,6352.14
Friday,East Chelsea,2,1,4111.63
Friday,East Chelsea,2,2,3806.35
Friday,East Chelsea,2,3,3690.88
Friday,East Chelsea,2,4,3919.44
Friday,East Chelsea,2,5,4435.27
Friday,East Chelsea,2,6,4418.81
Friday,East Chelsea,2,7,6003.07
Friday,East Chelsea,2,8,7873.26
Friday,East Chelsea,2,9,7021.78
Friday,East Chelsea,2,10,7582.61
Friday,East Chelsea,2,11,7880.57
Friday,East Chelsea,2,12,8737.69
Friday,East Chelsea,2,13,9652.53
Friday,East Chelsea,2,14,9299.46
Friday,East Chelsea,2,15,11387.89
Friday,East Chelsea,2,16,9219.25
Friday,East Chelsea,2,17,12385.22
Friday,East Chelsea,2,18,11193.05
Friday,East Chelsea,2,19,11561.77
Friday,East Chelsea,2,20,9790.45
Friday,East Chelsea,2,21,12096.460000000001
Friday,East Chelsea,2,22,14964.84
Friday,East Chelsea,2,23,11159.63
Friday,East Chelsea,3,0,8076.25
Friday,East Chelsea,3,1,5597.08
Friday,East Chelsea,3,2,4274.37
Friday,East Chelsea,3,3,2826.73
Friday,East Chelsea,3,4,3081.9900000000002
Friday,East Chelsea,3,5,4346.42
Friday,East Chelsea,3,6,6183.06
Friday,East Chelsea,3,7,6960.12
Friday,East Chelsea,3,8,9182.49
Friday,East Chelsea,3,9,7539.6
Friday,East Chelsea,3,10,8279.03
Friday,East Chelsea,3,11,7891.69
Friday,East Chelsea,3,12,11698.16
Friday,East Chelsea,3,13,11118.84
Friday,East Chelsea,3,14,12041.67
Friday,East Chelsea,3,15,10027.11
Friday,East Chelsea,3,16,9575.83
Friday,East Chelsea,3,17,10518.87
Friday,East Chelsea,3,18,10769.11
Friday,East Chelsea,3,19,11967.69
Friday,East Chelsea,3,20,9827.02
Friday,East Chelsea,3,21,10516.69
