weekday,Zone,week_number,hour,driver_pay
Friday,Clinton East,2,0,8720.02
Friday,Clinton East,2,1,4907.73
Friday,Clinton East,2,2,3801.41
Friday,Clinton East,2,3,4082.88
Friday,Clinton East,2,4,5064.16
Friday,Clinton East,2,5,3602.61
Friday,Clinton East,2,6,4483.15
Friday,Clinton East,2,7,4886.58
Friday,Clinton East,2,8,5856.46
Friday,Clinton East,2,9,6270.77
Friday,Clinton East,2,10,6042.98
Friday,Clinton East,2,11,7214.51
Friday,Clinton East,2,12,6896.25
Friday,Clinton East,2,13,5522.99
Friday,Clinton East,2,14,6059.71
Friday,Clinton East,2,15,6164.19
Friday,Clinton East,2,16,6426.2
Friday,Clinton East,2,17,5640.1
Friday,Clinton East,2,18,8381.65
Friday,Clinton East,2,19,6850.99
Friday,Clinton East,2,20,7817.59
Friday,Clinton East,2,21,9713.93
Friday,Clinton East,2,22,13456.8
Friday,Clinton East,2,23,10348.18
Friday,Clinton East,3,0,5918.76
Friday,Clinton East,3,1,5643.13
Friday,Clinton East,3,2,3149.36
Friday,Clinton East,3,3,3636.44
Friday,Clinton East,3,4,3686.96
Friday,Clinton East,3,5,3123.52
Friday,Clinton East,3,6,4700.58
Friday,Clinton East,3,7,5648.4
Friday,Clinton East,3,8,5842.96
Friday,Clinton East,3,9,5738.99
Friday,Clinton East,3,10,6055.56
Friday,Clinton East,3,11,5580.84
Friday,Clinton East,3,12,6440.11
Friday,Clinton East,3,13,6540.05
Friday,Clinton East,3,14,6347.26
Friday,Clinton East,3,15,5259.66
Friday,Clinton East,3,16,6073.55
Friday,Clinton East,3,17,6276.42
Friday,Clinton East,3,18,7372.42
Friday,Clinton East,3,19,7950.44
Friday,Clinton East,3,20,6941.66
Friday,Clinton East,3,21,10007.41
Friday,Clinton East,3,22,14939.05
Friday,Clinton East,3,23,12900.78
Friday,Clinton East,4,0,7169.04
Friday,Clinton East,4,1,5028.54
Friday,Clinton East,4,2,4035.77
Friday,Clinton East,4,3,4240.82
Friday,Clinton East,4,4,3960.98
Friday,Clinton East,4,5,3810.41
Friday,Clinton East,4,6,4568.95
Friday,Clinton East,4,7,5470.44
Friday,Clinton East,4,8,6268.15
Friday,Clinton East,4,9,5645.69
Friday,Clinton East,4,10,5558.01
Friday,Clinton East,4,11,6167.98
Friday,Clinton East,4,12,5840.57
Friday,Clinton East,4,13,5907.11
Friday,Clinton East,4,14,6670.1900000000005
Friday,Clinton East,4,15,6021.25
Friday,Clinton East,4,16,5235.39
Friday,Clinton East,4,17,6706.34
Friday,Clinton East,4,18,7156.19
Friday,Clinton East,4,19,7871.38
Friday,Clinton East,4,20,7157.32
Friday,Clinton East,4,21,10903.1
Friday,Clinton East,4,22,14987.0
Friday,Clinton East,4,23,13039.81
Friday,Clinton East,5,0,6938.87
Friday,Clinton East,5,1,7172.86
Friday,Clinton East,5,2,4516.45
Friday,Clinton East,5,3,4475.68
Friday,Clinton East,5,4,4897.65
Friday,Clinton East,5,5,4346.47
Friday,Clinton East,5,6,3736.68
Friday,Clinton East,5,7,5595.12
Friday,Clinton East,5,8,6497.75
Friday,Clinton East,5,9,7809.42
Friday,Clinton East,5,10,7688.92
Friday,Clinton East,5,11,6626.22
Friday,Clinton East,5,12,5025.43
Friday,Clinton East,5,13,5359.77
Friday,Clinton East,5,14,5345.62
Friday,Clinton East,5,15,4474.3
Friday,Clinton East,5,16,5266.06
Friday,Clinton East,5,17,5541.14
Friday,Clinton East,5,18,6115.61
Friday,Clinton East,5,19,7085.79
Friday,Clinton East,5,20,7074.46
Friday,Clinton East,5,21,9500.06
Friday,Clinton East,5,22,14441.82
Friday,Clinton East,5,23,13725.39
Friday,Crown Heights North,2,0,3642.21
Friday,Crown Heights North,2,1,3405.66
Friday,Crown Heights North,2,2,1728.77
Friday,Crown Heights North,2,3,2261.52
Friday,Crown Heights North,2,4,3586.71
Friday,Crown Heights North,2,5,4854.71
Friday,Crown Heights North,2,6,7188.13
Friday,Crown Heights North,2,7,9832.09
Friday,Crown Heights North,2,8,9965.3
Friday,Crown Heights North,2,9,8077.03
Friday,Crown Heights North,2,10,6232.28
Friday,Crown Heights North,2,11,6468.32
Friday,Crown Heights North,2,12,6749.22
Friday,Crown Heights North,2,13,6526.75
Friday,Crown Heights North,2,14,7797.3
Friday,Crown Heights North,2,15,7925.7
Friday,Crown Heights North,2,16,8587.27
Friday,Crown Heights North,2,17,10540.76
Friday,Crown Heights North,2,18,9495.3
Friday,Crown Heights North,2,19,11066.94
Friday,Crown Heights North,2,20,8372.289999999999
Friday,Crown Heights North,2,21,9019.06
