weekday,Zone,week_number,hour,driver_pay
Friday,Crown Heights North,1,0,3736.27
Friday,Crown Heights North,1,1,2748.55
Friday,Crown Heights North,1,2,1246.11
Friday,Crown Heights North,1,3,2011.46
Friday,Crown Heights North,1,4,2387.17
Friday,Crown Heights North,1,5,3476.56
Friday,Crown Heights North,1,6,5852.28
Friday,Crown Heights North,1,7,8546.15
Friday,Crown Heights North,1,8,9143.84
Friday,Crown Heights North,1,9,8321.59
Friday,Crown Heights North,1,10,6769.18
Friday,Crown Heights North,1,11,7357.65
Friday,Crown Heights North,1,12,6726.22
Friday,Crown Heights North,1,13,6830.45
Friday,Crown Heights North,1,14,7345.56
Friday,Crown Heights North,1,15,8070.8
Friday,Crown Heights North,1,16,7926.19
Friday,Crown Heights North,1,17,9233.21
Friday,Crown Heights North,1,18,10639.57
Friday,Crown Heights North,1,19,10075.460000000001
Friday,Crown Heights North,1,20,8121.58
Friday,Crown Heights North,1,21,7237.61
Friday,Crown Heights North,1,22,8996.23
Friday,Crown Heights North,1,23,9586.17
Friday,Crown Heights North,2,0,4774.61
Friday,Crown Heights North,2,1,2538.07
Friday,Crown Heights North,2,2,1944.6
Friday,Crown Heights North,2,3,1729.36
Friday,Crown Heights North,2,4,2796.18
Friday,Crown Heights North,2,5,3878.96
Friday,Crown Heights North,2,6,6101.74
Friday,Crown Heights North,2,7,8649.93
Friday,Crown Heights North,2,8,9048.7
Friday,Crown Heights North,2,9,7890.38
Friday,Crown Heights North,2,10,6470.0199999999995
Friday,Crown Heights North,2,11,5791.97
Friday,Crown Heights North,2,12,6821.26
Friday,Crown Heights North,2,13,7069.57
Friday,Crown Heights North,2,14,7190.82
Friday,Crown Heights North,2,15,8532.15
Friday,Crown Heights North,2,16,8951.61
Friday,Crown Heights North,2,17,12823.79
Friday,Crown Heights North,2,18,18156.3
Friday,Crown Heights North,2,19,12047.08
Friday,Crown Heights North,2,20,11059.68
Friday,Crown Heights North,2,21,9768.77
Friday,Crown Heights North,2,22,11021.15
Friday,Crown Heights North,2,23,10650.38
Friday,Crown Heights North,3,0,3779.18
Friday,Crown Heights North,3,1,2133.46
Friday,Crown Heights North,3,2,1440.6
Friday,Crown Heights North,3,3,1912.0
Friday,Crown Heights North,3,4,2638.09
Friday,Crown Heights North,3,5,3032.33
Friday,Crown Heights North,3,6,6863.56
Friday,Crown Heights North,3,7,8550.67
Friday,Crown Heights North,3,8,9546.58
Friday,Crown Heights North,3,9,8068.67
Friday,Crown Heights North,3,10,6670.5
Friday,Crown Heights North,3,11,6104.0
Friday,Crown Heights North,3,12,6830.95
Friday,Crown Heights North,3,13,6573.98
Friday,Crown Heights North,3,14,8279.24
Friday,Crown Heights North,3,15,8536.74
Friday,Crown Heights North,3,16,8588.5
Friday,Crown Heights North,3,17,9701.16
Friday,Crown Heights North,3,18,10134.83
Friday,Crown Heights North,3,19,11123.87
Friday,Crown Heights North,3,20,9703.54
Friday,Crown Heights North,3,21,8878.99
Friday,Crown Heights North,3,22,9038.94
Friday,Crown Heights North,3,23,10538.82
Friday,Crown Heights North,4,0,3463.6
Friday,Crown Heights North,4,1,2493.59
Friday,Crown Heights North,4,2,1926.52
Friday,Crown Heights North,4,3,1943.63
Friday,Crown Heights North,4,4,2758.76
Friday,Crown Heights North,4,5,3616.88
Friday,Crown Heights North,4,6,5960.76
Friday,Crown Heights North,4,7,6645.02
Friday,Crown Heights North,4,8,8024.9
Friday,Crown Heights North,4,9,7926.6
Friday,Crown Heights North,4,10,6935.55
Friday,Crown Heights North,4,11,6429.1
Friday,Crown Heights North,4,12,6761.84
Friday,Crown Heights North,4,13,5907.76
Friday,Crown Heights North,4,14,6208.09
Friday,Crown Heights North,4,15,6517.06
Friday,Crown Heights North,4,16,7392.95
Friday,Crown Heights North,4,17,8802.46
Friday,Crown Heights North,4,18,9650.35
Friday,Crown Heights North,4,19,9862.9
Friday,Crown Heights North,4,20,8762.07
Friday,Crown Heights North,4,21,7899.77
Friday,Crown Heights North,4,22,9109.89
Friday,Crown Heights North,4,23,9247.71
Friday,East Chelsea,1,0,5947.32
Friday,East Chelsea,1,1,2950.85
Friday,East Chelsea,1,2,1611.47
Friday,East Chelsea,1,3,1753.22
Friday,East Chelsea,1,4,2658.31
Friday,East Chelsea,1,5,3557.89
Friday,East Chelsea,1,6,4022.43
