weekday,Zone,week_number,hour,driver_pay
Friday,Clinton East,1,0,7130.18
Friday,Clinton East,1,1,5608.19
Friday,Clinton East,1,2,4102.91
Friday,Clinton East,1,3,4023.33
Friday,Clinton East,1,4,4603.91
Friday,Clinton East,1,5,3681.47
Friday,Clinton East,1,6,4037.09
Friday,Clinton East,1,7,5218.85
Friday,Clinton East,1,8,5973.28
Friday,Clinton East,1,9,4609.46
Friday,Clinton East,1,10,4541.95
Friday,Clinton East,1,11,5427.47
Friday,Clinton East,1,12,5790.44
Friday,Clinton East,1,13,5575.68
Friday,Clinton East,1,14,5345.98
Friday,Clinton East,1,15,6182.62
Friday,Clinton East,1,16,5973.37
Friday,Clinton East,1,17,6319.79
Friday,Clinton East,1,18,6675.8
Friday,Clinton East,1,19,8372.4
Friday,Clinton East,1,20,7157.72
Friday,Clinton East,1,21,9153.75
Friday,Clinton East,1,22,14123.62
Friday,Clinton East,1,23,13468.93
Friday,Clinton East,2,0,6764.26
Friday,Clinton East,2,1,4997.2
Friday,Clinton East,2,2,4071.15
Friday,Clinton East,2,3,3522.43
Friday,Clinton East,2,4,4477.57
Friday,Clinton East,2,5,3787.36
Friday,Clinton East,2,6,4133.99
Friday,Clinton East,2,7,5158.99
Friday,Clinton East,2,8,5470.77
Friday,Clinton East,2,9,5870.04
Friday,Clinton East,2,10,6269.95
Friday,Clinton East,2,11,5338.14
Friday,Clinton East,2,12,4842.39
Friday,Clinton East,2,13,5271.2300000000005
Friday,Clinton East,2,14,5764.97
Friday,Clinton East,2,15,5560.08
Friday,Clinton East,2,16,5915.74
Friday,Clinton East,2,17,5247.76
Friday,Clinton East,2,18,6795.35
Friday,Clinton East,2,19,8763.76
Friday,Clinton East,2,20,6964.55
Friday,Clinton East,2,21,10548.34
Friday,Clinton East,2,22,14013.02
Friday,Clinton East,2,23,12645.86
Friday,Clinton East,3,0,7739.14
Friday,Clinton East,3,1,6189.44
Friday,Clinton East,3,2,4116.27
Friday,Clinton East,3,3,4499.7
Friday,Clinton East,3,4,4959.64
Friday,Clinton East,3,5,4400.95
Friday,Clinton East,3,6,5160.93
Friday,Clinton East,3,7,5155.32
Friday,Clinton East,3,8,5462.1
Friday,Clinton East,3,9,6332.5
Friday,Clinton East,3,10,6584.19
Friday,Clinton East,3,11,5247.75
Friday,Clinton East,3,12,6663.67
Friday,Clinton East,3,13,6461.53
Friday,Clinton East,3,14,5806.43
Friday,Clinton East,3,15,7423.72
Friday,Clinton East,3,16,5977.83
Friday,Clinton East,3,17,5340.23
Friday,Clinton East,3,18,6016.23
Friday,Clinton East,3,19,7631.86
Friday,Clinton East,3,20,7927.14
Friday,Clinton East,3,21,9971.63
Friday,Clinton East,3,22,11782.04
Friday,Clinton East,3,23,12792.26
Friday,Clinton East,4,0,5817.61
Friday,Clinton East,4,1,5078.81
Friday,Clinton East,4,2,3582.2200000000003
Friday,Clinton East,4,3,3684.14
Friday,Clinton East,4,4,4825.64
Friday,Clinton East,4,5,3964.87
Friday,Clinton East,4,6,4360.83
Friday,Clinton East,4,7,4854.46
Friday,Clinton East,4,8,6451.66
Friday,Clinton East,4,9,6257.92
Friday,Clinton East,4,10,5848.02
Friday,Clinton East,4,11,5636.65
Friday,Clinton East,4,12,5068.93
Friday,Clinton East,4,13,5073.36
Friday,Clinton East,4,14,5472.1
Friday,Clinton East,4,15,5319.27
Friday,Clinton East,4,16,5771.31
Friday,Clinton East,4,17,6438.6
Friday,Clinton East,4,18,6440.61
Friday,Clinton East,4,19,6906.73
Friday,Clinton East,4,20,6938.39
Friday,Clinton East,4,21,9505.14
Friday,Clinton East,4,22,13065.79
Friday,Clinton East,4,23,12366.63
Friday,Clinton East,5,0,8164.8
Friday,Clinton East,5,1,6304.26
Friday,Clinton East,5,2,4167.02
Friday,Clinton East,5,3,3968.02
Friday,Clinton East,5,4,5203.89
Friday,Clinton East,5,5,3035.48
Friday,Clinton East,5,6,3473.09
Friday,Clinton East,5,7,3616.48
Friday,Clinton East,5,8,4977.67
Friday,Clinton East,5,9,6374.32
Friday,Clinton East,5,10,6476.9800000000005
Friday,Clinton East,5,11,7199.62
Friday,Clinton East,5,12,5664.36
Friday,Clinton East,5,13,5229.86
Friday,Clinton East,5,14,4636.86
Friday,Clinton East,5,15,5877.35
Friday,Clinton East,5,16,5740.89
Friday,Clinton East,5,17,6037.98
Friday,Clinton East,5,18,6342.3
Friday,Clinton East,5,19,7022.41
Friday,Clinton East,5,20,7562.08
Friday,Clinton East,5,21,9664.47
Friday,Clinton East,5,22,13469.13
Friday,Clinton East,5,23,12510.93
Friday,Crown Heights North,1,0,4524.9
Friday,Crown Heights North,1,1,2472.67
Friday,Crown Heights North,1,2,1682.67
Friday,Crown Heights North,1,3,2409.18
Friday,Crown Heights North,1,4,2974.45
Friday,Crown Heights North,1,5,5102.66
Friday,Crown Heights North,1,6,7562.01
Friday,Crown Heights North,1,7,9455.35
Friday,Crown Heights North,1,8,10831.64
Friday,Crown Heights North,1,9,9179.39
Friday,Crown Heights North,1,10,6547.92
Friday,Crown Heights North,1,11,6383.23
Friday,Crown Heights North,1,12,6637.19
Friday,Crown Heights North,1,13,6525.56
